#{"t_start": 1701214375.3774838, "env_id": "None"}
r,l,t
-4776.24,80,106.848348
-2736.76,51,106.958749
-446.17,12,106.986795
-3463.34,55,107.11148
-2542.03,73,107.276229
-5294.29,100,107.479786
-3943.04,93,107.673261
-5591.66,100,107.892041
-4092.55,100,108.101639
-5212.97,100,108.32016
-5200.2,100,108.547945
-1358.86,36,108.62866
-4250.21,75,108.795175
-1449.06,33,108.865041
-31.19,9,108.887664
-39.45,11,108.905536
-5703.11,100,109.12062
-48.62,13,109.16622
-3947.52,73,109.332404
-469.78,17,109.367768
-5393.37,100,109.593758
-1808.07,46,109.706823
-4752.97,93,109.92349
-4598.68,100,110.147838
-271.08,18,110.183627
-5394.94,100,110.402977
-4001.95,100,110.611964
-4102.54,100,110.859068
-3845.56,73,111.054815
-1543.57,32,111.144598
-5593.99,100,111.361405
-5186.51,100,111.573495
282.85,6,111.583273
397.96,3,111.594056
-251.51,13,111.620264
-4190.97,100,111.866232
-3611.52,85,112.097186
-5601.85,100,112.323211
-5496.37,100,112.565082
-759.27,14,112.605551
-6603.0,100,112.832474
-4891.81,100,113.04523
-4199.58,100,113.250521
-5599.47,100,113.48129
499.94,3,113.493288
-4600.52,100,113.724289
-4802.37,100,113.983263
-5787.72,100,114.22023
-1379.64,39,114.299178
-5105.74,100,114.519049
-1758.11,35,114.597838
-5899.84,100,114.807909
-4497.72,100,115.023324
-1809.59,48,115.119704
-4894.95,100,115.340049
-5493.46,100,115.558837
-5391.82,100,115.77313
-153.62,14,115.810055
-3164.23,55,115.9195
-4488.11,100,116.137886
-3764.59,77,116.31824
-790.44,22,116.366
-5780.0,100,116.586886
-1749.3,33,116.664894
-5495.67,100,116.888433
-4395.13,100,117.099716
-5194.11,100,117.312528
-5390.47,100,117.520643
-5100.55,100,117.732846
-559.3,15,117.766679
-5701.68,100,117.972409
-5994.64,100,118.178095
-36.29,10,118.207289
-3582.61,61,118.340035
-2630.14,50,118.456612
-5597.74,100,118.684158
-1845.2,33,118.769263
-1891.26,42,118.861275
-5294.16,100,119.07709
-6262.26,97,119.283775
-6488.65,100,119.495245
-5497.87,100,119.696767
-5600.63,100,119.935309
-6288.6,100,120.148956
-2351.0,53,120.26574
